A1,81706.388,2735601.903
A2,81701.888,2735601.903
A3,81697.388,2735601.903
A4,81692.888,2735601.903
A5,81688.388,2735601.903
A6,81683.888,2735601.903
A7,81679.388,2735601.903
A8,81674.888,2735601.903
A9,81670.388,2735601.903
A10,81665.888,2735601.903
A11,81661.388,2735601.903
A12,81656.888,2735601.903
A13,81652.388,2735601.903
A14,81647.888,2735601.903
A15,81643.388,2735601.903
A16,81638.888,2735601.903
A17,81634.388,2735601.903
A18,81629.888,2735601.903
A19,81625.388,2735601.903
A20,81620.888,2735601.903
A21,81616.388,2735601.903
A22,81611.888,2735601.903
A23,81607.388,2735601.903
A24,81602.888,2735601.903
A25,81593.888,2735561.903
A26,81598.388,2735561.903
A27,81602.888,2735561.903
A28,81607.388,2735561.903
A29,81611.888,2735561.903
A30,81616.388,2735561.903
A31,81620.888,2735561.903
A32,81625.388,2735561.903
A33,81629.888,2735561.903
A34,81634.388,2735561.903
A35,81638.888,2735561.903
A36,81643.388,2735561.903
A37,81647.888,2735561.903
A38,81652.388,2735561.903
A39,81656.888,2735561.903
A40,81661.388,2735561.903
A41,81665.888,2735561.903
A42,81670.388,2735561.903
A43,81674.888,2735561.903
A44,81679.388,2735561.903
A45,81683.888,2735561.903
A46,81688.388,2735561.903
A47,81692.888,2735561.903
A48,81697.388,2735561.903
A49,81701.888,2735561.903
A50,81706.388,2735561.903
A51,81710.888,2735561.903
A52,81715.388,2735561.903
A53,81719.888,2735561.903
A54,81724.388,2735561.903
A55,81728.888,2735561.903
A56,81733.388,2735561.903
A57,81737.888,2735561.903
A58,81742.388,2735561.903
A59,81746.888,2735561.903
A60,81751.388,2735561.903
A61,81791.888,2735521.903
A62,81787.388,2735521.903
A63,81782.888,2735521.903
A64,81778.388,2735521.903
A65,81773.888,2735521.903
A66,81769.388,2735521.903
A67,81764.888,2735521.903
A68,81760.388,2735521.903
A69,81755.888,2735521.903
A70,81751.388,2735521.903
A71,81746.888,2735521.903
A72,81742.388,2735521.903
A73,81737.888,2735521.903
A74,81733.388,2735521.903
A75,81728.888,2735521.903
A76,81724.388,2735521.903
A77,81719.888,2735521.903
A78,81715.388,2735521.903
A79,81711.638,2735521.903
A80,81706.388,2735521.903
A81,81701.888,2735521.903
A82,81697.388,2735521.903
A83,81692.888,2735521.903
A84,81688.388,2735521.903
A85,81683.888,2735521.903
A86,81679.388,2735521.903
A87,81674.888,2735521.903
A88,81670.388,2735521.903
A89,81665.888,2735521.903
A90,81661.388,2735521.903
A91,81656.888,2735521.903
A92,81652.388,2735521.903
A93,81647.888,2735521.903
A94,81643.388,2735521.903
A95,81638.888,2735521.903
A96,81634.388,2735521.903
A97,81629.888,2735521.903
A98,81625.388,2735521.903
A99,81620.888,2735521.903
A100,81616.388,2735521.903
A101,81611.888,2735521.903
A102,81607.388,2735521.903
A103,81602.888,2735521.903
A104,81598.388,2735521.903
A105,81593.888,2735521.903
A106,81589.388,2735521.903
A107,81584.888,2735521.903
A108,81553.388,2735481.903
A109,81557.888,2735481.903
A110,81562.388,2735481.903
A111,81566.888,2735481.903
A112,81571.388,2735481.903
A113,81575.888,2735481.903
A114,81580.388,2735481.903
A115,81584.888,2735481.903
A116,81589.388,2735481.903
A117,81593.888,2735481.903
A118,81598.388,2735481.903
A119,81602.888,2735481.903
A120,81607.388,2735481.903
A121,81611.888,2735481.903
A122,81616.388,2735481.903
A123,81620.888,2735481.903
A124,81625.388,2735481.903
A125,81629.888,2735481.903
A126,81634.388,2735481.903
A127,81638.888,2735481.903
A128,81643.388,2735481.903
A129,81647.888,2735481.903
A130,81652.388,2735481.903
A131,81656.888,2735481.903
